,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
4112,#65 Best Public Middle Schools in New Jersey,M,Ramsey School District,AOverall Niche Grade,6-8 ,Eric S. Smith Middle School,744 Students,63.0,10:1 Student-Teacher Ratio, NJ ,ramsey,Public School ,https://www.niche.com/k12/eric-s-smith-middle-school-ramsey-nj/
4114,#66 Best Public Middle Schools in New Jersey,M,Old Tappan Public School District,AOverall Niche Grade,5-8 ,Charles DeWolf Middle School,341 Students,64.0,10:1 Student-Teacher Ratio, NJ ,old-tappan,Public School ,https://www.niche.com/k12/charles-dewolf-middle-school-old-tappan-nj/
4116,#67 Best Public Middle Schools in New Jersey,M,Newark,AOverall Niche Grade,K-12 ,North Star Academy Charter School of Newark,"4,490 Students",65.0,16:1 Student-Teacher Ratio, NJ ,of-newark-newark,Public School ,https://www.niche.com/k12/north-star-academy-charter-school-of-newark-newark-nj/
4120,#68 Best Public Middle Schools in New Jersey,M,Scotch Plains-Fanwood School District,AOverall Niche Grade,5-8 ,Park Middle School,909 Students,66.0,11:1 Student-Teacher Ratio, NJ ,scotch-plains,Public School ,https://www.niche.com/k12/park-middle-school-scotch-plains-nj/
4122,#69 Best Public Middle Schools in New Jersey,M,South Brunswick School District,AOverall Niche Grade,6-8 ,Crossroads Middle School - South,"1,113 Students",67.0,13:1 Student-Teacher Ratio, NJ ,--south-monmouth-junction,Public School ,https://www.niche.com/k12/crossroads-middle-school---south-monmouth-junction-nj/
4124,,M,,,,Avon Elementary School,,,,,avon,,https://www.niche.com/k12/avon-elementary-school-avon-nj/
4126,#71 Best Public Middle Schools in New Jersey,M,Englewood Cliffs School District,AOverall Niche Grade,3-8 ,Upper School,342 Students,68.0,9:1 Student-Teacher Ratio, NJ ,englewood-cliffs,Public School ,https://www.niche.com/k12/upper-school-englewood-cliffs-nj/
4128,,M,,,,Montague Elementary School,,,,,montague,,https://www.niche.com/k12/montague-elementary-school-montague-nj/
4131,,M,,,,Frenchtown Elementary School,,,,,frenchtown,,https://www.niche.com/k12/frenchtown-elementary-school-frenchtown-nj/
4133,#74 Best Public Middle Schools in New Jersey,M,Chester School District,AOverall Niche Grade,6-8 ,Black River Middle School,441 Students,69.0,10:1 Student-Teacher Ratio, NJ ,chester,Public School ,https://www.niche.com/k12/black-river-middle-school-chester-nj/
4135,#75 Best Public Middle Schools in New Jersey,M,Kinnelon School District,AOverall Niche Grade,6-8 ,Pearl R. Miller Middle School,494 Students,70.0,10:1 Student-Teacher Ratio, NJ ,kinnelon,Public School ,https://www.niche.com/k12/pearl-r-miller-middle-school-kinnelon-nj/
4139,,M,,,,The IDEAL School of Manhattan,,,,,of-manhattan-new-york-ny,,https://www.niche.com/k12/the-ideal-school-of-manhattan-new-york-ny/
4141,,M,,,,Shrewsbury Borough Elementary School,,,,,shrewsbury,,https://www.niche.com/k12/shrewsbury-borough-elementary-school-shrewsbury-nj/
4178,#91 Best Public Middle Schools in New Jersey,M,Monmouth Beach,AOverall Niche Grade,"PK, K-8 ",Monmouth Beach School District,239 Students,87.0,9:1 Student-Teacher Ratio, NJ ,district-monmouth-beach,Public School ,https://www.niche.com/k12/monmouth-beach-school-district-monmouth-beach-nj/
4180,#92 Best Public Middle Schools in New Jersey,M,Dumont Public School District,AOverall Niche Grade,"PK, K-8 ",Charles A. Selzer Elementary School,501 Students,88.0,12:1 Student-Teacher Ratio, NJ ,dumont,Public School ,https://www.niche.com/k12/charles-a-selzer-elementary-school-dumont-nj/
4184,#93 Best Public Middle Schools in New Jersey,M,Leonia Public School District,AOverall Niche Grade,6-8 ,Leonia Middle School,493 Students,89.0,10:1 Student-Teacher Ratio, NJ ,leonia,Public School ,https://www.niche.com/k12/leonia-middle-school-leonia-nj/
4186,#94 Best Public Middle Schools in New Jersey,M,Montclair Public Schools,AOverall Niche Grade,6-8 ,Mt. Hebron Middle School,640 Students,90.0,10:1 Student-Teacher Ratio, NJ ,upper-montclair,Public School ,https://www.niche.com/k12/mt-hebron-middle-school-upper-montclair-nj/
4188,#95 Best Public Middle Schools in New Jersey,M,Linwood City School District,AOverall Niche Grade,5-8 ,Belhaven Middle School,392 Students,91.0,12:1 Student-Teacher Ratio, NJ ,linwood,Public School ,https://www.niche.com/k12/belhaven-middle-school-linwood-nj/
4190,#96 Best Public Middle Schools in New Jersey,M,Fort Lee School District,AOverall Niche Grade,7-8 ,Lewis F. Cole Middle School,574 Students,92.0,12:1 Student-Teacher Ratio, NJ ,fort-lee,Public School ,https://www.niche.com/k12/lewis-f-cole-middle-school-fort-lee-nj/
4192,#97 Best Public Middle Schools in New Jersey,M,Bridgewater-Raritan Regional School District,AOverall Niche Grade,5-6 ,Hillside Intermediate School,571 Students,93.0,10:1 Student-Teacher Ratio, NJ ,bridgewater,Public School ,https://www.niche.com/k12/hillside-intermediate-school-bridgewater-nj/
4195,#98 Best Public Middle Schools in New Jersey,M,Marlboro Township School District,AOverall Niche Grade,6-8 ,Marlboro Middle School,"1,028 Students",94.0,10:1 Student-Teacher Ratio, NJ ,marlboro,Public School ,https://www.niche.com/k12/marlboro-middle-school-marlboro-nj/
4197,#99 Best Public Middle Schools in New Jersey,M,Montvale Board of Education School District,AOverall Niche Grade,5-8 ,Fieldstone Middle School,487 Students,95.0,11:1 Student-Teacher Ratio, NJ ,montvale,Public School ,https://www.niche.com/k12/fieldstone-middle-school-montvale-nj/
4199,#100 Best Public Middle Schools in New Jersey,M,Freehold Township School District,AOverall Niche Grade,6-8 ,Dwight D. Eisenhower Middle School,682 Students,96.0,11:1 Student-Teacher Ratio, NJ ,freehold,Public School ,https://www.niche.com/k12/dwight-d-eisenhower-middle-school-freehold-nj/
4207,,M,,,,Brielle Elementary School,,,,,brielle,,https://www.niche.com/k12/brielle-elementary-school-brielle-nj/
4209,#103 Best Public Middle Schools in New Jersey,M,Hoboken,AOverall Niche Grade,K-8 ,Elysian Charter School,290 Students,100.0,12:1 Student-Teacher Ratio, NJ ,hoboken,Public School ,https://www.niche.com/k12/elysian-charter-school-hoboken-nj/
4211,,M,nj,,,,,,,nj,,,https://www.niche.com/k12/academy-of-saint-elizabeth-morristown-nj/
4212,#104 Best Public Middle Schools in New Jersey,M,Tewksbury Township School District,AOverall Niche Grade,5-8 ,Old Turnpike School,292 Students,101.0,9:1 Student-Teacher Ratio, NJ ,califon,Public School ,https://www.niche.com/k12/old-turnpike-school-califon-nj/
4214,#105 Best Public Middle Schools in New Jersey,M,Little Falls Township Public Schools,AOverall Niche Grade,5-8 ,Little Falls School No. 1,370 Students,102.0,9:1 Student-Teacher Ratio, NJ ,no-1-little-falls,Public School ,https://www.niche.com/k12/little-falls-school-no-1-little-falls-nj/
4216,#106 Best Public Middle Schools in New Jersey,M,Metuchen Public School District,AOverall Niche Grade,5-8 ,Edgar Middle School,749 Students,103.0,12:1 Student-Teacher Ratio, NJ ,metuchen,Public School ,https://www.niche.com/k12/edgar-middle-school-metuchen-nj/
4220,#107 Best Public Middle Schools in New Jersey,M,Franklin Lakes School District,AOverall Niche Grade,6-8 ,Franklin Avenue Middle School,429 Students,104.0,7:1 Student-Teacher Ratio, NJ ,franklin-lakes,Public School ,https://www.niche.com/k12/franklin-avenue-middle-school-franklin-lakes-nj/
4222,#108 Best Public Middle Schools in New Jersey,M,Clinton Township School District,AOverall Niche Grade,7-8 ,Clinton Township Middle School,377 Students,105.0,9:1 Student-Teacher Ratio, NJ ,clinton-340336002935,Public School ,https://www.niche.com/k12/clinton-township-middle-school-clinton-nj-340336002935/
4224,#109 Best Public Middle Schools in New Jersey,M,Monroe Township School District,AOverall Niche Grade,6-8 ,Monroe Township Middle School,"1,637 Students",106.0,13:1 Student-Teacher Ratio, NJ ,monroe-township,Public School ,https://www.niche.com/k12/monroe-township-middle-school-monroe-township-nj/
4227,#110 Best Public Middle Schools in New Jersey,M,Lincoln Park School District,AOverall Niche Grade,"PK, 5-8 ",Lincoln Park Middle School,385 Students,107.0,9:1 Student-Teacher Ratio, NJ ,lincoln-park,Public School ,https://www.niche.com/k12/lincoln-park-middle-school-lincoln-park-nj/
4229,,M,,,,Riverton School,,,,,riverton,,https://www.niche.com/k12/riverton-school-riverton-nj/
4231,#112 Best Public Middle Schools in New Jersey,M,Bedminster,AOverall Niche Grade,"PK, K-8 ",Bedminster Township School,521 Students,108.0,10:1 Student-Teacher Ratio, NJ ,bedminster,Public School ,https://www.niche.com/k12/bedminster-township-school-bedminster-nj/
4235,#113 Best Public Middle Schools in New Jersey,M,Flemington-Raritan Regional School District,AOverall Niche Grade,5-6 ,Reading Fleming Intermediate School,742 Students,109.0,10:1 Student-Teacher Ratio, NJ ,flemington,Public School ,https://www.niche.com/k12/reading-fleming-intermediate-school-flemington-nj/
4237,#114 Best Public Middle Schools in New Jersey,M,West Essex Regional School District,A-Overall Niche Grade,7-8 ,West Essex Regional Middle School,567 Students,110.0,11:1 Student-Teacher Ratio, NJ ,north-caldwell,Public School ,https://www.niche.com/k12/west-essex-regional-middle-school-north-caldwell-nj/
4239,#115 Best Public Middle Schools in New Jersey,M,Robbinsville Public Schools,A-Overall Niche Grade,5-8 ,Pond Road Middle School,995 Students,111.0,10:1 Student-Teacher Ratio, NJ ,robbinsville,Public School ,https://www.niche.com/k12/pond-road-middle-school-robbinsville-nj/
4241,#116 Best Public Middle Schools in New Jersey,M,Bayonne School District,A-Overall Niche Grade,"PK, K-8 ",Nicholas Oresko School,452 Students,112.0,17:1 Student-Teacher Ratio, NJ ,bayonne,Public School ,https://www.niche.com/k12/nicholas-oresko-school-bayonne-nj/
4243,#117 Best Public Middle Schools in New Jersey,M,Mendham Borough School District,A-Overall Niche Grade,5-8 ,Mountain View Middle School,256 Students,113.0,9:1 Student-Teacher Ratio, NJ ,mendham,Public School ,https://www.niche.com/k12/mountain-view-middle-school-mendham-nj/
4247,#118 Best Public Middle Schools in New Jersey,M,Cherry Hill School District,A-Overall Niche Grade,6-8 ,Rosa International Middle School,809 Students,114.0,13:1 Student-Teacher Ratio, NJ ,cherry-hill,Public School ,https://www.niche.com/k12/rosa-international-middle-school-cherry-hill-nj/
4249,#119 Best Public Middle Schools in New Jersey,M,Jersey City School District,A-Overall Niche Grade,6-8 ,The Academy I Middle School,453 Students,115.0,13:1 Student-Teacher Ratio, NJ ,jersey-city,Public School ,https://www.niche.com/k12/the-academy-i-middle-school-jersey-city-nj/
4251,#120 Best Public Middle Schools in New Jersey,M,Randolph Township School District,A-Overall Niche Grade,6-8 ,Randolph Middle School,"1,185 Students",116.0,11:1 Student-Teacher Ratio, NJ ,randolph,Public School ,https://www.niche.com/k12/randolph-middle-school-randolph-nj/
4253,#121 Best Public Middle Schools in New Jersey,M,Denville Township K-8 School District,A-Overall Niche Grade,6-8 ,Valleyview Middle School,575 Students,117.0,10:1 Student-Teacher Ratio, NJ ,denville,Public School ,https://www.niche.com/k12/valleyview-middle-school-denville-nj/
4255,#123 Best Public Middle Schools in New Jersey,M,Watchung Borough Public School District,A-Overall Niche Grade,5-8 ,Valley View School,341 Students,118.0,11:1 Student-Teacher Ratio, NJ ,watchung,Public School ,https://www.niche.com/k12/valley-view-school-watchung-nj/
4258,#124 Best Public Middle Schools in New Jersey,M,Readington Township School District,A-Overall Niche Grade,6-8 ,Holland Brook School,606 Students,119.0,9:1 Student-Teacher Ratio, NJ ,whitehouse-station-341371003030,Public School ,https://www.niche.com/k12/holland-brook-school-whitehouse-station-nj-341371003030/
4260,#125 Best Public Middle Schools in New Jersey,M,Bethlehem Township School District,A-Overall Niche Grade,6-8 ,Ethel Hoppock Middle School,150 Students,120.0,10:1 Student-Teacher Ratio, NJ ,asbury,Public School ,https://www.niche.com/k12/ethel-hoppock-middle-school-asbury-nj/
4262,#126 Best Public Middle Schools in New Jersey,M,Paramus Public School District,A-Overall Niche Grade,5-8 ,East Brook Middle School,614 Students,121.0,13:1 Student-Teacher Ratio, NJ ,paramus,Public School ,https://www.niche.com/k12/east-brook-middle-school-paramus-nj/
4295,#138 Best Public Middle Schools in New Jersey,M,Somerset,A-Overall Niche Grade,K-12 ,Central Jersey College Prep Charter School,476 Students,136.0,10:1 Student-Teacher Ratio, NJ ,somerset,Public School ,https://www.niche.com/k12/central-jersey-college-prep-charter-school-somerset-nj/
4299,#139 Best Public Middle Schools in New Jersey,M,Edison Township School District,A-Overall Niche Grade,6-8 ,Thomas Jefferson Middle School,750 Students,137.0,10:1 Student-Teacher Ratio, NJ ,edison,Public School ,https://www.niche.com/k12/thomas-jefferson-middle-school-edison-nj/
4301,#140 Best Public Middle Schools in New Jersey,M,Elizabeth Public Schools,A-Overall Niche Grade,2-8 ,William F. Halloran School No. 22,817 Students,138.0,13:1 Student-Teacher Ratio, NJ ,no-22-elizabeth,Public School ,https://www.niche.com/k12/william-f-halloran-school-no-22-elizabeth-nj/
4303,#141 Best Public Middle Schools in New Jersey,M,Hopewell Valley Regional School District,A-Overall Niche Grade,6-8 ,Timberlane Middle School,842 Students,139.0,9:1 Student-Teacher Ratio, NJ ,pennington,Public School ,https://www.niche.com/k12/timberlane-middle-school-pennington-nj/
4305,#142 Best Public Middle Schools in New Jersey,M,Edison Township School District,A-Overall Niche Grade,6-8 ,Herbert Hoover Middle School,795 Students,140.0,10:1 Student-Teacher Ratio, NJ ,edison,Public School ,https://www.niche.com/k12/herbert-hoover-middle-school-edison-nj/
4307,#143 Best Public Middle Schools in New Jersey,M,Wyckoff Township Public School District,A-Overall Niche Grade,6-8 ,Dwight D. Eisenhower Middle School,786 Students,141.0,12:1 Student-Teacher Ratio, NJ ,wyckoff,Public School ,https://www.niche.com/k12/dwight-d-eisenhower-middle-school-wyckoff-nj/
4311,#144 Best Public Middle Schools in New Jersey,M,Point Pleasant Borough School District,A-Overall Niche Grade,6-8 ,Memorial Middle School,637 Students,142.0,10:1 Student-Teacher Ratio, NJ ,point-pleasant,Public School ,https://www.niche.com/k12/memorial-middle-school-point-pleasant-nj/
4313,#145 Best Public Middle Schools in New Jersey,M,Greendell,A-Overall Niche Grade,K-8 ,Green Hills School,428 Students,143.0,11:1 Student-Teacher Ratio, NJ ,greendell,Public School ,https://www.niche.com/k12/green-hills-school-greendell-nj/
4315,#146 Best Public Middle Schools in New Jersey,M,River Vale Public School District,A-Overall Niche Grade,6-8 ,Holdrum Middle School,433 Students,144.0,11:1 Student-Teacher Ratio, NJ ,river-vale,Public School ,https://www.niche.com/k12/holdrum-middle-school-river-vale-nj/
4317,#147 Best Public Middle Schools in New Jersey,M,Sparta Township Public School District,A-Overall Niche Grade,6-8 ,Sparta Middle School,812 Students,145.0,11:1 Student-Teacher Ratio, NJ ,sparta,Public School ,https://www.niche.com/k12/sparta-middle-school-sparta-nj/
4319,#148 Best Public Middle Schools in New Jersey,M,Wayne Township Public School District,A-Overall Niche Grade,6-8 ,Schuyler Colfax Middle School,724 Students,146.0,11:1 Student-Teacher Ratio, NJ ,wayne,Public School ,https://www.niche.com/k12/schuyler-colfax-middle-school-wayne-nj/
4322,#149 Best Public Middle Schools in New Jersey,M,Spring Lake Heights,A-Overall Niche Grade,K-8 ,Spring Lake Heights Elementary School,340 Students,147.0,10:1 Student-Teacher Ratio, NJ ,spring-lake-heights,Public School ,https://www.niche.com/k12/spring-lake-heights-elementary-school-spring-lake-heights-nj/
4324,,M,East Brunswick,A-Overall Niche Grade,K-7 ,Hatikvah International Charter School,375 Students,148.0,12:1 Student-Teacher Ratio, NJ ,east-brunswick,Public School ,https://www.niche.com/k12/hatikvah-international-charter-school-east-brunswick-nj/
4326,,M,nj,,,,,,,nj,,,https://www.niche.com/k12/east-amwell-township-ringoes-nj/
4357,#162 Best Public Middle Schools in New Jersey,M,Bay Head,A-Overall Niche Grade,K-8 ,Bay Head Elementary School,129 Students,162.0,9:1 Student-Teacher Ratio, NJ ,bay-head,Public School ,https://www.niche.com/k12/bay-head-elementary-school-bay-head-nj/
4361,#163 Best Public Middle Schools in New Jersey,M,Manalapan-Englishtown Regional Schools,A-Overall Niche Grade,7-8 ,Manalapan-Englishtown Middle School,"1,179 Students",163.0,12:1 Student-Teacher Ratio, NJ ,manalapan,Public School ,https://www.niche.com/k12/manalapan-englishtown-middle-school-manalapan-nj/
4363,,M,,,,Clinton Township Middle School,,,,,clinton-340333002964,,https://www.niche.com/k12/clinton-township-middle-school-clinton-nj-340333002964/
4365,#165 Best Public Middle Schools in New Jersey,M,Clementon,A-Overall Niche Grade,"PK, K-8 ",Clementon Elementary School,453 Students,164.0,9:1 Student-Teacher Ratio, NJ ,clementon,Public School ,https://www.niche.com/k12/clementon-elementary-school-clementon-nj/
4367,#166 Best Public Middle Schools in New Jersey,M,Point Pleasant Beach School District,A-Overall Niche Grade,"PK, K-8 ",G. Harold Antrim Elementary School,405 Students,165.0,10:1 Student-Teacher Ratio, NJ ,point-pleasant-beach,Public School ,https://www.niche.com/k12/g-harold-antrim-elementary-school-point-pleasant-beach-nj/
4369,#167 Best Public Middle Schools in New Jersey,M,Middletown Township Public School District,A-Overall Niche Grade,6-8 ,Thompson Middle School,"1,019 Students",166.0,13:1 Student-Teacher Ratio, NJ ,middletown,Public School ,https://www.niche.com/k12/thompson-middle-school-middletown-nj/
4373,#168 Best Public Middle Schools in New Jersey,M,Medford Township School District,A-Overall Niche Grade,7-8 ,Medford Memorial Middle School,710 Students,167.0,13:1 Student-Teacher Ratio, NJ ,medford,Public School ,https://www.niche.com/k12/medford-memorial-middle-school-medford-nj/
4375,#169 Best Public Middle Schools in New Jersey,M,Great Meadows Regional School District,A-Overall Niche Grade,6-8 ,Great Meadows Regional Middle School,231 Students,168.0,8:1 Student-Teacher Ratio, NJ ,great-meadows,Public School ,https://www.niche.com/k12/great-meadows-regional-middle-school-great-meadows-nj/
4377,#170 Best Public Middle Schools in New Jersey,M,Montville Township School District,A-Overall Niche Grade,6-8 ,Robert R. Lazar Middle School,885 Students,169.0,9:1 Student-Teacher Ratio, NJ ,montville,Public School ,https://www.niche.com/k12/robert-r-lazar-middle-school-montville-nj/
4379,#171 Best Public Middle Schools in New Jersey,M,Somerset Hills Regional School District,A-Overall Niche Grade,5-8 ,Bernardsville Middle School,549 Students,170.0,14:1 Student-Teacher Ratio, NJ ,bernardsville,Public School ,https://www.niche.com/k12/bernardsville-middle-school-bernardsville-nj/
4381,#172 Best Public Middle Schools in New Jersey,M,Green Brook Township Public School District,A-Overall Niche Grade,5-8 ,Green Brook Middle School,420 Students,171.0,10:1 Student-Teacher Ratio, NJ ,green-brook,Public School ,https://www.niche.com/k12/green-brook-middle-school-green-brook-nj/
4384,#173 Best Public Middle Schools in New Jersey,M,Piscataway Township School District,A-Overall Niche Grade,6-8 ,Theodore Schor Middle School,569 Students,172.0,11:1 Student-Teacher Ratio, NJ ,piscataway,Public School ,https://www.niche.com/k12/theodore-schor-middle-school-piscataway-nj/
4386,#174 Best Public Middle Schools in New Jersey,M,Union City School District,A-Overall Niche Grade,"PK, 1-8 ",Woodrow Wilson School,369 Students,173.0,14:1 Student-Teacher Ratio, NJ ,weehawken,Public School ,https://www.niche.com/k12/woodrow-wilson-school-weehawken-nj/
4388,#175 Best Public Middle Schools in New Jersey,M,Wanaque School District,A-Overall Niche Grade,"PK, K-8 ",Wanaque Elementary School,496 Students,174.0,11:1 Student-Teacher Ratio, NJ ,wanaque,Public School ,https://www.niche.com/k12/wanaque-elementary-school-wanaque-nj/
4394,,M,,,,Delaware Township School,,,,,sergeantsville,,https://www.niche.com/k12/delaware-township-school-sergeantsville-nj/
4404,,M,,,,Maria L. Varisco Rogers Charter School,,,,,newark,,https://www.niche.com/k12/maria-l-varisco-rogers-charter-school-newark-nj/
4406,,M,,,,Kingwood Township School,,,,,frenchtown,,https://www.niche.com/k12/kingwood-township-school-frenchtown-nj/
4410,#182 Best Public Middle Schools in New Jersey,M,Branchville,B+Overall Niche Grade,"PK, K-8 ",Frankford Township School,519 Students,181.0,9:1 Student-Teacher Ratio, NJ ,branchville,Public School ,https://www.niche.com/k12/frankford-township-school-branchville-nj/
4412,#183 Best Public Middle Schools in New Jersey,M,Ocean City School District,B+Overall Niche Grade,4-8 ,Ocean City Intermediate School,517 Students,182.0,10:1 Student-Teacher Ratio, NJ ,ocean-city,Public School ,https://www.niche.com/k12/ocean-city-intermediate-school-ocean-city-nj/
4414,#184 Best Public Middle Schools in New Jersey,M,Jersey City,B+Overall Niche Grade,"PK, K-8 ",Learning Community Charter School,584 Students,183.0,13:1 Student-Teacher Ratio, NJ ,jersey-city,Public School ,https://www.niche.com/k12/learning-community-charter-school-jersey-city-nj/
4417,#185 Best Public Middle Schools in New Jersey,M,Wanaque School District,B+Overall Niche Grade,"PK, K-8 ",Haskell Elementary School,392 Students,184.0,9:1 Student-Teacher Ratio, NJ ,haskell,Public School ,https://www.niche.com/k12/haskell-elementary-school-haskell-nj/
4419,#186 Best Public Middle Schools in New Jersey,M,West Orange Public Schools,B+Overall Niche Grade,7-8 ,Roosevelt Middle School,521 Students,185.0,9:1 Student-Teacher Ratio, NJ ,w-orange,Public School ,https://www.niche.com/k12/roosevelt-middle-school-w-orange-nj/
4421,#187 Best Public Middle Schools in New Jersey,M,Pompton Lakes School District,B+Overall Niche Grade,6-8 ,Lakeside School,351 Students,186.0,11:1 Student-Teacher Ratio, NJ ,pompton-lakes,Public School ,https://www.niche.com/k12/lakeside-school-pompton-lakes-nj/
4425,#188 Best Public Middle Schools in New Jersey,M,Hardyston Township School District,B+Overall Niche Grade,5-8 ,Hardyston Township Middle School,316 Students,187.0,12:1 Student-Teacher Ratio, NJ ,hamburg,Public School ,https://www.niche.com/k12/hardyston-township-middle-school-hamburg-nj/
4427,#189 Best Public Middle Schools in New Jersey,M,Paramus Public School District,B+Overall Niche Grade,5-8 ,West Brook Middle School,551 Students,188.0,9:1 Student-Teacher Ratio, NJ ,paramus,Public School ,https://www.niche.com/k12/west-brook-middle-school-paramus-nj/
4429,#190 Best Public Middle Schools in New Jersey,M,Alexandria Township School District,B+Overall Niche Grade,4-8 ,Alexandria Middle School,272 Students,189.0,9:1 Student-Teacher Ratio, NJ ,pittstown,Public School ,https://www.niche.com/k12/alexandria-middle-school-pittstown-nj/
4431,#191 Best Public Middle Schools in New Jersey,M,Westwood Regional School District,B+Overall Niche Grade,6-7 ,Westwood Regional Middle School,413 Students,190.0,10:1 Student-Teacher Ratio, NJ ,westwood,Public School ,https://www.niche.com/k12/westwood-regional-middle-school-westwood-nj/
4433,#192 Best Public Middle Schools in New Jersey,M,Woodbridge Township School District,B+Overall Niche Grade,6-8 ,Iselin Middle School,673 Students,191.0,11:1 Student-Teacher Ratio, NJ ,iselin,Public School ,https://www.niche.com/k12/iselin-middle-school-iselin-nj/
4437,#193 Best Public Middle Schools in New Jersey,M,South Orange-Maplewood School District,B+Overall Niche Grade,6-8 ,Maplewood Middle School,762 Students,192.0,11:1 Student-Teacher Ratio, NJ ,maplewood,Public School ,https://www.niche.com/k12/maplewood-middle-school-maplewood-nj/
4439,#194 Best Public Middle Schools in New Jersey,M,Cherry Hill School District,B+Overall Niche Grade,6-8 ,Henry C. Beck Middle School,914 Students,193.0,13:1 Student-Teacher Ratio, NJ ,cherry-hill,Public School ,https://www.niche.com/k12/henry-c-beck-middle-school-cherry-hill-nj/
4441,#195 Best Public Middle Schools in New Jersey,M,Howell Township Public School District,B+Overall Niche Grade,6-8 ,Howell Township Middle School North,"1,140 Students",194.0,11:1 Student-Teacher Ratio, NJ ,north-farmingdale,Public School ,https://www.niche.com/k12/howell-township-middle-school-north-farmingdale-nj/
4443,#196 Best Public Middle Schools in New Jersey,M,Logan Township School District,B+Overall Niche Grade,6-8 ,Logan Middle School,246 Students,195.0,8:1 Student-Teacher Ratio, NJ ,logan-township,Public School ,https://www.niche.com/k12/logan-middle-school-logan-township-nj/
4445,#197 Best Public Middle Schools in New Jersey,M,Roxbury Township School District,B+Overall Niche Grade,7-8 ,Eisenhower Middle School,585 Students,196.0,11:1 Student-Teacher Ratio, NJ ,succasunna,Public School ,https://www.niche.com/k12/eisenhower-middle-school-succasunna-nj/
4448,#198 Best Public Middle Schools in New Jersey,M,Woodstown-Pilesgrove Regional School District,B+Overall Niche Grade,6-8 ,Woodstown Middle School,265 Students,197.0,11:1 Student-Teacher Ratio, NJ ,woodstown,Public School ,https://www.niche.com/k12/woodstown-middle-school-woodstown-nj/
4450,,M,nj,,,,,,,nj,,,https://www.niche.com/k12/haines-sixth-grade-center-medford-nj/
4451,#200 Best Public Middle Schools in New Jersey,M,Fair Haven School District,B+Overall Niche Grade,4-8 ,Knollwood School,583 Students,198.0,11:1 Student-Teacher Ratio, NJ ,fair-haven,Public School ,https://www.niche.com/k12/knollwood-school-fair-haven-nj/
4453,,M,Brooklyn,B-Overall Niche Grade,9-12 ,Williamsburg Charter High School,954 Students,199.0,13:1 Student-Teacher Ratio, NY ,brooklyn-ny,Public School ,https://www.niche.com/k12/williamsburg-charter-high-school-brooklyn-ny/
4463,,M,ny,,,,,,,ny,,,https://www.niche.com/k12/friends-academy-locust-valley-ny/
4476,,M,,,,Bloomsbury Elementary School,,,,,bloomsbury,,https://www.niche.com/k12/bloomsbury-elementary-school-bloomsbury-nj/
4481,,M,,,,Riverdale Public School,,,,,riverdale,,https://www.niche.com/k12/riverdale-public-school-riverdale-nj/
4483,#212 Best Public Middle Schools in New Jersey,M,Newark,B+Overall Niche Grade,K-8 ,The Gray Charter School,347 Students,210.0,18:1 Student-Teacher Ratio, NJ ,newark,Public School ,https://www.niche.com/k12/the-gray-charter-school-newark-nj/
4487,#213 Best Public Middle Schools in New Jersey,M,Hainesport,B+Overall Niche Grade,"PK, K-8 ",Hainesport Township School,609 Students,211.0,10:1 Student-Teacher Ratio, NJ ,hainesport,Public School ,https://www.niche.com/k12/hainesport-township-school-hainesport-nj/
4489,#214 Best Public Middle Schools in New Jersey,M,East Rutherford School District,B+Overall Niche Grade,5-8 ,Alfred Faust School,327 Students,212.0,9:1 Student-Teacher Ratio, NJ ,east-rutherford,Public School ,https://www.niche.com/k12/alfred-faust-school-east-rutherford-nj/
4491,#215 Best Public Middle Schools in New Jersey,M,Middlesex Borough School District,B+Overall Niche Grade,4-8 ,Von E. Mauger Middle School,807 Students,213.0,12:1 Student-Teacher Ratio, NJ ,middlesex,Public School ,https://www.niche.com/k12/von-e-mauger-middle-school-middlesex-nj/
4493,#216 Best Public Middle Schools in New Jersey,M,Boonton Town School District,B+Overall Niche Grade,1-8 ,John Hill School,610 Students,214.0,10:1 Student-Teacher Ratio, NJ ,boonton,Public School ,https://www.niche.com/k12/john-hill-school-boonton-nj/
4495,#217 Best Public Middle Schools in New Jersey,M,Piscataway Township School District,B+Overall Niche Grade,6-8 ,Quibbletown Middle School,539 Students,215.0,11:1 Student-Teacher Ratio, NJ ,piscataway,Public School ,https://www.niche.com/k12/quibbletown-middle-school-piscataway-nj/
4499,#218 Best Public Middle Schools in New Jersey,M,Bloomfield Township School District,B+Overall Niche Grade,7-8 ,Bloomfield Middle School,907 Students,216.0,11:1 Student-Teacher Ratio, NJ ,bloomfield,Public School ,https://www.niche.com/k12/bloomfield-middle-school-bloomfield-nj/
4501,#219 Best Public Middle Schools in New Jersey,M,Ventnor City School District,B+Overall Niche Grade,5-8 ,Ventnor Middle School,291 Students,217.0,10:1 Student-Teacher Ratio, NJ ,ventnor,Public School ,https://www.niche.com/k12/ventnor-middle-school-ventnor-nj/
4503,#220 Best Public Middle Schools in New Jersey,M,Waldwick School District,B+Overall Niche Grade,6-8 ,Waldwick Middle School,349 Students,218.0,11:1 Student-Teacher Ratio, NJ ,waldwick,Public School ,https://www.niche.com/k12/waldwick-middle-school-waldwick-nj/
